Slug,Date,Open,High,Low,Close,Volume,Market Cap
ripple,Feb 20/ 2018,1.14,1.17,1.08,1.09,806673000,44648100000
ripple,Feb 19/ 2018,1.12,1.17,1.12,1.14,556304000,43813300000
ripple,Feb 18/ 2018,1.20,1.21,1.09,1.12,1113650000,46997500000
ripple,Feb 17/ 2018,1.14,1.22,1.13,1.20,1186730000,44370200000
ripple,Feb 16/ 2018,1.14,1.15,1.11,1.14,568339000,44663300000
ripple,Feb 15/ 2018,1.14,1.16,1.11,1.15,1188530000,44433600000
ripple,Feb 14/ 2018,1.03,1.17,1.02,1.14,1457600000,40026500000
ripple,Feb 13/ 2018,1.08,1.08,1.01,1.03,921100000,42119800000
ripple,Feb 12/ 2018,1.01,1.11,1.01,1.08,1756290000,39262700000
ripple,Feb 11/ 2018,1.07,1.08,0.929767,1.00,2555310000,41635500000
ripple,Feb 10/ 2018,0.947251,1.30,0.947251,1.07,4682010000,36951500000
ripple,Feb 09/ 2018,0.797140,0.954428,0.771540,0.954428,1690340000,31095800000
ripple,Feb 08/ 2018,0.729252,0.806970,0.722611,0.805263,947315000,28447500000
ripple,Feb 07/ 2018,0.774576,0.805478,0.706950,0.723895,1133370000,30215600000
ripple,Feb 06/ 2018,0.705121,0.786004,0.588360,0.776393,2361140000,27506200000
ripple,Feb 05/ 2018,0.825943,0.833866,0.675827,0.691799,1286180000,32219400000
ripple,Feb 04/ 2018,0.913418,0.952947,0.796821,0.815703,1190960000,35631700000
ripple,Feb 03/ 2018,0.891992,0.974799,0.761635,0.924043,1988960000,34795900000
ripple,Feb 02/ 2018,0.960642,0.960642,0.635185,0.884784,3529760000,37473900000
ripple,Feb 01/ 2018,1.16,1.16,0.930378,0.962530,1410420000,44971500000
ripple,Jan 31/ 2018,1.13,1.19,1.04,1.16,1264030000,43800800000
ripple,Jan 30/ 2018,1.33,1.33,1.13,1.14,1134640000,51452400000
ripple,Jan 29/ 2018,1.40,1.41,1.30,1.32,1073680000,54204300000
ripple,Jan 28/ 2018,1.22,1.44,1.22,1.40,1327360000,47412500000
ripple,Jan 27/ 2018,1.22,1.24,1.19,1.22,689101000,47180200000
ripple,Jan 26/ 2018,1.31,1.33,1.14,1.22,2037570000,50706400000
ripple,Jan 25/ 2018,1.36,1.38,1.29,1.31,986068000,52811100000
ripple,Jan 24/ 2018,1.35,1.42,1.31,1.36,1853440000,52380100000
ripple,Jan 23/ 2018,1.35,1.43,1.20,1.34,2977080000,52421300000
ripple,Jan 22/ 2018,1.39,1.43,1.16,1.36,2642510000,53909800000
ripple,Jan 21/ 2018,1.58,1.58,1.34,1.38,2840750000,61061900000
ripple,Jan 20/ 2018,1.56,1.63,1.50,1.58,2346450000,60543000000
